,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,well
0,52bd4d0b-a560-41b9-9916-a20b7043a6b6,240.99290557908716,48.36189704858488,336.7399980782345,1173.9051992940936,A1
1,d365091e-1c27-42db-8aa5-e42d95a7a83d,122.41097307267174,142.66656828240036,217.9633831727814,1316.9590754721464,A2
2,6c56c8e8-e5dd-44a5-9de1-57dd4b1b930a,374.6974796613082,76.6697216100366,475.6234778969627,873.0093208316925,A3
3,acad2dda-7615-4f85-9e61-3f18a1d016ef,211.24469518013083,102.39666373525479,359.7657137858073,1126.5929272988071,A4
4,a2725e93-e667-4659-baa0-436d07892eff,201.75515117828212,144.19865486057273,142.03408248114536,1312.0121114799997,A5
5,80110593-f1d1-4747-a66c-bd2cb191d257,349.8110953758327,38.10567333217324,269.18895470192484,1142.8942765900692,A6
6,d62f622e-e593-4ecd-9c96-f7d40dee54a9,271.51170633557666,110.62814254909722,196.53574623968018,1221.324404875646,A7
7,353d5de2-2d81-4ac2-b494-55ceb87dc5b8,222.38001638863494,135.6013333935946,159.7083267750013,1282.3103234427692,A8
8,4bb387b2-b1da-4e7a-a807-4663f27c850d,167.82336384304634,130.21580159513903,37.81542813720335,1464.145406424611,B1
9,405dfba8-b6f1-47de-8c02-95b9464ed563,303.4198216621654,109.444387592632,251.6345004902772,1135.5012902549254,B3
10,31a3487a-6e27-458b-a260-2a963d211c69,477.8721771012378,131.2513304468539,468.7066868848378,722.1698055670706,B4
11,691c77dc-a9ff-4767-a4e3-66ba1269494d,168.42762521033745,114.58314594153342,471.06854090498456,1045.9206879431447,B5
12,1a7098b2-ae30-4c1b-b267-45b30a3537ef,120.66615146364371,137.35655146719674,231.53886898780627,1310.4384280813533,B6
13,6fb83d1a-05dd-4f4f-8ef5-f19f299b4001,340.3753528466356,51.098710676909064,209.45619330625064,1199.0697431702047,B8
14,884b0ae2-ef4a-432f-a6ee-d8acb4ef2cbf,360.22374162403764,105.73639585246507,107.28984525730213,1226.7500172661953,C1
15,c9300f4b-3d17-4ac5-8669-597b2dcc9c2b,190.743657331332,52.28976138712132,38.50830305454988,1518.4582782269968,C2
16,21c8959f-149c-42ef-9178-af30e5063d27,124.25804147629144,39.907097384768214,281.84392733232113,1353.990933806619,C3
17,9f0bad93-dc47-450e-9e40-8aa1524308b0,313.8372210363433,58.16105322313628,128.7297620765563,1299.2719636639642,C4
18,a391dc51-13af-43c5-a4bb-d55930c411c2,206.86576602358593,61.510421139756396,154.91319159046253,1376.7106212461952,C5
19,f7018402-c310-4304-874c-66f6fa911e25,147.16582471198103,41.728026728764604,55.638305311692754,1555.4678432475616,C6
20,95383c83-a1e5-4e96-b533-208fb9b50941,419.6960736763561,68.1105007054896,281.24574866957937,1030.947676948575,C7
21,c660c7cb-0e41-40c7-b8a6-316c2bd9a633,308.4081732629886,104.33071250915897,447.14420768587246,940.1169065419801,C8
22,d5bb8695-e32f-4bee-8f38-e36e3ff586d0,401.31162908296267,133.0767321699386,400.0143094255091,865.5973293215897,D1
23,35c87a12-c2b7-4dbd-8d3f-5c6ed8f8d348,137.9134466084226,81.96239929683395,478.6150953752586,1101.5090587194848,D2
24,041717a0-1303-4fb5-9493-5a6fee4a28f2,286.17946829778714,93.87123129268852,377.4303486737139,1042.5189517358103,D3
25,0627746e-8d94-4750-bd11-abad375e25ac,248.81489344342404,35.0955244607886,71.4537728827769,1444.6358092130104,D4
26,ddcee3fe-823c-4ea2-8207-691b36532099,103.54455777446256,112.66310484823912,423.65171561302236,1160.1406217642761,D5
27,cba412d3-978c-4afa-9484-ff1f637248af,192.5161623342626,141.92679260284683,453.4091605025912,1012.1478845602993,D6
28,d79c8e2d-1e53-4b13-8c8f-d2c4cbd8283f,263.4558624779432,107.40982952461206,175.39807277786886,1253.736235219576,D7
29,5da13d22-3bc7-4538-b3c6-778a2d3754f8,395.8491795633091,73.37147047258107,324.42767729960866,1006.3516726645009,D8
30,99dc73bc-8462-429a-a759-22af08ada179,349.4072582531382,89.58399078195094,60.73095061688668,1300.2778003480244,E1
31,bc9496c8-08af-4e14-901a-ac4a0791d180,116.37954841962899,119.4497033718746,396.6554737153126,1167.5152744931838,E3
32,3d1affd4-b981-4217-96a3-9b978a76742c,193.92137569648594,127.98598071155155,39.76505120614127,1438.3275923858214,E4
33,b26c0daa-c6a8-41a8-be81-8960de81f7db,287.7758993515704,127.88636972746792,83.07635054180265,1301.261380379159,E5
34,b8d84b76-8b83-4209-82a5-94c5c1ee94ab,133.8353547207644,77.67059321318908,116.73212429421501,1471.7619277718316,E6
35,8e097b30-ca50-46ac-a2cb-e0c6eb4fc210,295.3097797140849,49.63930349101981,439.7414139704377,1015.3095028244577,E8
36,9e9869d4-fd28-4c84-add7-814ce1e4840f,161.1698944832142,110.4999314611617,108.02787118141963,1420.3023028742045,F1
37,22deb5b6-6f79-443a-a258-3d7bea0d42d4,297.0989020416857,88.00343951561528,445.9601810368143,968.9374774058848,F2
38,55ceeed2-f037-4075-93aa-677e107af9fc,232.93796411592035,59.84568401415771,224.45272040176368,1282.7636314681583,F3
39,ea72f8c3-7f52-4f4c-a7bf-514509d92e69,299.90108081704676,124.82999643942375,113.94119548851575,1261.3277272550135,F4
